file_name,text
kayas_1.jpg,"Naa ko sa balay"
kayas_2.jpg,"Gutom na ko"
kayas_3.jpg,"Ganahan ko ug kape"
kayas_4.jpg,"Asa ka padulong"
kayas_5.jpg,"Paspas kaayo sya modagan"
kayas_6.jpg,"Dugay nako naghulat"
kayas_7.jpg,"Bugnaw ang tubig"
kayas_8.jpg,"Natulog na ang bata"
kayas_9.jpg,"Adto ko ugma sa ilang balay"
kayas_10.jpg,"Gutom na ang akong iro"
kayas_11.jpg,"Nag ulan kagabi kusog kaayo"
kayas_12.jpg,"Lami kaayo ang pagkaon"
kayas_13.jpg,"Dili ko kabalo ana"
kayas_14.jpg,"Nangaon mi sa gawas ganina"
kayas_15.jpg,"Sige na, mang lakaw nata"
kayas_16.jpg,"Gi kapoy kog dagan-dagan"
kayas_17.jpg,"Wala ko sa opisina ugma"
kayas_18.jpg,"Kinsa imong kauban?"
kayas_19.jpg,"Kinsa ang imong kauban?"
kayas_20.jpg,"Kinamanghuran man ka diba?"
kayas_21.jpg,"Magdala ko ug Payong."
kayas_22.jpg,"ulan kaayo ganina buntag."
kayas_23.jpg,"Bag-o palang ko nakaabot"
kayas_24.jpg,"Mahal ang gasolina karon."
kayas_25.jpg,"Daghan kaayo ang tawo sa merkado"
kayas_26.jpg,"Nawagtangan ko ug cellphone"
kayas_27.jpg,"Mo uli ko ugma sa bukid"
kayas_28.jpg,"Gisugo ko sa akong mama"
kayas_29.jpg,"wala pa siya moabot"
kayas_30.jpg,"Nagsakay mi ug jeep"
kayas_31.jpg,"Maayo ang gasa nga imong gihatag"
kayas_32.jpg,"Busy kaayo kokarong adlaw."
kayas_33.jpg,"Ang bata nagdula og bola sa gawas"
kayas_34.jpg,"Ang iro naglingkod sa kilid sa dalan."
kayas_35.jpg,"Ang babae nagbasa og libro sa bangko."
kayas_36.jpg,"Ang sakyanan nahunong sa parkingan"
kayas_37.jpg,"Ang mga studyante naglingkod sulod sa classroom"
